87 epoch, LR 0.000073, LOSS 0.846073, ACC 84.63%, EER 1.00%, bestEER 0.93%
88 epoch, LR 0.000071, LOSS 0.841989, ACC 84.68%, EER 0.98%, bestEER 0.93%
89 epoch, LR 0.000069, LOSS 0.841274, ACC 84.68%, EER 0.95%, bestEER 0.93%
90 epoch, LR 0.000066, LOSS 0.843311, ACC 84.66%, EER 0.95%, bestEER 0.93%
91 epoch, LR 0.000064, LOSS 0.840567, ACC 84.69%, EER 0.99%, bestEER 0.93%
92 epoch, LR 0.000063, LOSS 0.840239, ACC 84.72%, EER 0.97%, bestEER 0.93%
93 epoch, LR 0.000061, LOSS 0.835160, ACC 84.82%, EER 0.97%, bestEER 0.93%
94 epoch, LR 0.000059, LOSS 0.835819, ACC 84.83%, EER 0.97%, bestEER 0.93%
95 epoch, LR 0.000057, LOSS 0.833899, ACC 84.84%, EER 0.97%, bestEER 0.93%
96 epoch, LR 0.000055, LOSS 0.830852, ACC 84.92%, EER 0.99%, bestEER 0.93%
97 epoch, LR 0.000054, LOSS 0.829808, ACC 84.91%, EER 0.95%, bestEER 0.93%
98 epoch, LR 0.000052, LOSS 0.827836, ACC 84.95%, EER 0.95%, bestEER 0.93%
99 epoch, LR 0.000051, LOSS 0.831567, ACC 84.92%, EER 0.95%, bestEER 0.93%
100 epoch, LR 0.000049, LOSS 0.830193, ACC 84.90%, EER 1.01%, bestEER 0.93%
101 epoch, LR 0.000048, LOSS 0.825466, ACC 84.96%, EER 1.00%, bestEER 0.93%
102 epoch, LR 0.000046, LOSS 0.824431, ACC 85.02%, EER 0.96%, bestEER 0.93%
103 epoch, LR 0.000045, LOSS 0.821633, ACC 85.07%, EER 0.96%, bestEER 0.93%
104 epoch, LR 0.000043, LOSS 0.822171, ACC 85.07%, EER 0.97%, bestEER 0.93%
105 epoch, LR 0.000042, LOSS 0.821454, ACC 85.09%, EER 0.96%, bestEER 0.93%
106 epoch, LR 0.000041, LOSS 0.821573, ACC 85.09%, EER 0.99%, bestEER 0.93%
107 epoch, LR 0.000040, LOSS 0.818794, ACC 85.08%, EER 0.95%, bestEER 0.93%
108 epoch, LR 0.000038, LOSS 0.817805, ACC 85.15%, EER 0.98%, bestEER 0.93%
109 epoch, LR 0.000037, LOSS 0.815562, ACC 85.18%, EER 0.98%, bestEER 0.93%
110 epoch, LR 0.000036, LOSS 0.816032, ACC 85.17%, EER 0.95%, bestEER 0.93%
111 epoch, LR 0.000035, LOSS 0.816384, ACC 85.12%, EER 0.97%, bestEER 0.93%
112 epoch, LR 0.000034, LOSS 0.819702, ACC 85.13%, EER 0.96%, bestEER 0.93%
113 epoch, LR 0.000033, LOSS 0.816593, ACC 85.13%, EER 0.97%, bestEER 0.93%
114 epoch, LR 0.000032, LOSS 0.813492, ACC 85.22%, EER 0.96%, bestEER 0.93%
115 epoch, LR 0.000031, LOSS 0.816228, ACC 85.16%, EER 0.97%, bestEER 0.93%
116 epoch, LR 0.000030, LOSS 0.814195, ACC 85.18%, EER 0.94%, bestEER 0.93%
117 epoch, LR 0.000029, LOSS 0.812422, ACC 85.22%, EER 0.97%, bestEER 0.93%
118 epoch, LR 0.000028, LOSS 0.812441, ACC 85.23%, EER 0.96%, bestEER 0.93%
119 epoch, LR 0.000027, LOSS 0.809236, ACC 85.26%, EER 0.98%, bestEER 0.93%
120 epoch, LR 0.000027, LOSS 0.812177, ACC 85.22%, EER 0.96%, bestEER 0.93%
121 epoch, LR 0.000026, LOSS 0.810488, ACC 85.23%, EER 0.98%, bestEER 0.93%
122 epoch, LR 0.000025, LOSS 0.809417, ACC 85.29%, EER 0.97%, bestEER 0.93%
123 epoch, LR 0.000024, LOSS 0.807334, ACC 85.33%, EER 1.01%, bestEER 0.93%
124 epoch, LR 0.000024, LOSS 0.806390, ACC 85.34%, EER 0.97%, bestEER 0.93%
125 epoch, LR 0.000023, LOSS 0.806900, ACC 85.30%, EER 0.96%, bestEER 0.93%
126 epoch, LR 0.000022, LOSS 0.806661, ACC 85.33%, EER 0.96%, bestEER 0.93%
127 epoch, LR 0.000022, LOSS 0.804178, ACC 85.39%, EER 0.97%, bestEER 0.93%
128 epoch, LR 0.000021, LOSS 0.806277, ACC 85.34%, EER 1.01%, bestEER 0.93%
129 epoch, LR 0.000020, LOSS 0.806931, ACC 85.32%, EER 0.96%, bestEER 0.93%
130 epoch, LR 0.000020, LOSS 0.804403, ACC 85.38%, EER 0.99%, bestEER 0.93%
131 epoch, LR 0.000019, LOSS 0.802585, ACC 85.46%, EER 0.98%, bestEER 0.93%
132 epoch, LR 0.000018, LOSS 0.803161, ACC 85.40%, EER 0.99%, bestEER 0.93%
133 epoch, LR 0.000018, LOSS 0.804225, ACC 85.37%, EER 1.00%, bestEER 0.93%
134 epoch, LR 0.000017, LOSS 0.802442, ACC 85.42%, EER 1.00%, bestEER 0.93%
135 epoch, LR 0.000017, LOSS 0.802109, ACC 85.42%, EER 0.96%, bestEER 0.93%
136 epoch, LR 0.000016, LOSS 0.801824, ACC 85.40%, EER 0.94%, bestEER 0.93%
137 epoch, LR 0.000016, LOSS 0.801430, ACC 85.42%, EER 0.99%, bestEER 0.93%
138 epoch, LR 0.000015, LOSS 0.798134, ACC 85.45%, EER 0.98%, bestEER 0.93%
139 epoch, LR 0.000015, LOSS 0.798439, ACC 85.50%, EER 0.99%, bestEER 0.93%
140 epoch, LR 0.000014, LOSS 0.801001, ACC 85.47%, EER 0.97%, bestEER 0.93%
141 epoch, LR 0.000014, LOSS 0.800564, ACC 85.45%, EER 0.99%, bestEER 0.93%
142 epoch, LR 0.000014, LOSS 0.800509, ACC 85.41%, EER 1.00%, bestEER 0.93%
143 epoch, LR 0.000013, LOSS 0.799893, ACC 85.45%, EER 0.96%, bestEER 0.93%
144 epoch, LR 0.000013, LOSS 0.798624, ACC 85.49%, EER 0.98%, bestEER 0.93%
145 epoch, LR 0.000012, LOSS 0.799280, ACC 85.48%, EER 0.97%, bestEER 0.93%
146 epoch, LR 0.000012, LOSS 0.799353, ACC 85.46%, EER 0.94%, bestEER 0.93%
147 epoch, LR 0.000012, LOSS 0.796522, ACC 85.51%, EER 0.96%, bestEER 0.93%
148 epoch, LR 0.000011, LOSS 0.798711, ACC 85.47%, EER 0.99%, bestEER 0.93%
149 epoch, LR 0.000011, LOSS 0.796035, ACC 85.53%, EER 0.98%, bestEER 0.93%
150 epoch, LR 0.000011, LOSS 0.797402, ACC 85.48%, EER 0.95%, bestEER 0.93%
151 epoch, LR 0.000010, LOSS 0.796755, ACC 85.51%, EER 0.95%, bestEER 0.93%
152 epoch, LR 0.000010, LOSS 0.796482, ACC 85.50%, EER 0.99%, bestEER 0.93%
153 epoch, LR 0.000010, LOSS 0.797306, ACC 85.51%, EER 0.98%, bestEER 0.93%
154 epoch, LR 0.000009, LOSS 0.795991, ACC 85.50%, EER 0.99%, bestEER 0.93%
155 epoch, LR 0.000009, LOSS 0.797222, ACC 85.45%, EER 0.98%, bestEER 0.93%
156 epoch, LR 0.000009, LOSS 0.797998, ACC 85.48%, EER 0.97%, bestEER 0.93%
157 epoch, LR 0.000009, LOSS 0.796029, ACC 85.50%, EER 0.98%, bestEER 0.93%
158 epoch, LR 0.000008, LOSS 0.793379, ACC 85.61%, EER 0.98%, bestEER 0.93%
159 epoch, LR 0.000008, LOSS 0.795751, ACC 85.53%, EER 0.96%, bestEER 0.93%
160 epoch, LR 0.000008, LOSS 0.793969, ACC 85.55%, EER 0.97%, bestEER 0.93%
161 epoch, LR 0.000008, LOSS 0.794795, ACC 85.56%, EER 0.96%, bestEER 0.93%
162 epoch, LR 0.000007, LOSS 0.795269, ACC 85.55%, EER 0.97%, bestEER 0.93%
163 epoch, LR 0.000007, LOSS 0.794551, ACC 85.55%, EER 0.97%, bestEER 0.93%
164 epoch, LR 0.000007, LOSS 0.793191, ACC 85.56%, EER 0.95%, bestEER 0.93%
165 epoch, LR 0.000007, LOSS 0.793320, ACC 85.56%, EER 0.94%, bestEER 0.93%
166 epoch, LR 0.000007, LOSS 0.791619, ACC 85.61%, EER 0.98%, bestEER 0.93%
167 epoch, LR 0.000006, LOSS 0.796451, ACC 85.52%, EER 0.97%, bestEER 0.93%
168 epoch, LR 0.000006, LOSS 0.792364, ACC 85.59%, EER 0.98%, bestEER 0.93%
169 epoch, LR 0.000006, LOSS 0.794341, ACC 85.53%, EER 0.97%, bestEER 0.93%
170 epoch, LR 0.000006, LOSS 0.794125, ACC 85.59%, EER 0.98%, bestEER 0.93%
171 epoch, LR 0.000006, LOSS 0.793466, ACC 85.59%, EER 0.98%, bestEER 0.93%
172 epoch, LR 0.000005, LOSS 0.792877, ACC 85.58%, EER 0.97%, bestEER 0.93%
173 epoch, LR 0.000005, LOSS 0.792720, ACC 85.58%, EER 0.97%, bestEER 0.93%
174 epoch, LR 0.000005, LOSS 0.794903, ACC 85.57%, EER 0.95%, bestEER 0.93%
175 epoch, LR 0.000005, LOSS 0.792513, ACC 85.60%, EER 0.95%, bestEER 0.93%
176 epoch, LR 0.000005, LOSS 0.793931, ACC 85.55%, EER 0.97%, bestEER 0.93%
177 epoch, LR 0.000005, LOSS 0.791662, ACC 85.61%, EER 0.97%, bestEER 0.93%
178 epoch, LR 0.000005, LOSS 0.794132, ACC 85.57%, EER 0.98%, bestEER 0.93%
179 epoch, LR 0.000004, LOSS 0.793693, ACC 85.58%, EER 0.96%, bestEER 0.93%
180 epoch, LR 0.000004, LOSS 0.792890, ACC 85.60%, EER 0.99%, bestEER 0.93%
